Id del anuncio;Título;Tipo de inmueble;Tipo de vendedor;Habitaciones;Barrio;Municipio;Euros/m2;Metros cuadrados construidos;Obra nueva (Sí/No);Parking (Sí/No);Jardín (Sí/No);Precio
104399421;Casa independiente en Lugar la Carrera;Chalet;Profesional;7;-;Oviedo;1420;560;No;Sí;No;795000
102889072;Piso en avenida de San Pedro, 4 d;Piso;Profesional;3;-;Llanes;3194;72;No;Sí;No;230000
105109055;Piso en calle Doctor Alfredo Martínez;Piso;Profesional;3;Llamaquique;Oviedo;3482;110;No;No;No;383000
106590591;Chalet pareado en Lugar Villa;Chalet;Profesional;4;-;Llanes;1556;135;No;No;Sí;210000
106702364;Piso en calle Argañosa;Piso;Profesional;3;Argañosa;Oviedo;1500;120;No;Sí;No;180000
106589765;Casa independiente en senda Verde, 27;Chalet;Profesional;3;-;Oviedo;1500;220;No;Sí;Sí;330000
103451719;Piso en Ildefonso Sanchez Del Rio;Piso;Profesional;4;-;Siero;1150;100;No;No;No;115000
106888227;Piso en calle del General Elorza;Piso;Profesional;3;Milán-Pumarín;Oviedo;1988;83;No;No;No;165000
106631977;Casa independiente en Lln-17;Chalet;Profesional;5;-;Llanes;4630;270;No;Sí;Sí;1250000
105299251;Piso en calle de Ángel Embil;Piso;Profesional;3;-;Siero;1018;113;No;No;No;115000
107529023;Piso en calle José María Marcilla;Piso;Profesional;3;Montecerrao;Oviedo;1942;121;No;Sí;No;235000
103958410;Casa independiente en Cayado;Chalet;Profesional;4;-;Villaviciosa;875;200;No;No;Sí;175000
107513688;Piso en calle Rosario;Piso;Profesional;3;Cimadevilla;Gijón;2614;88;No;No;No;230000
106369021;Casa independiente;Chalet;Profesional;4;-;Oviedo;2045;220;No;Sí;Sí;450000
104186825;Casa independiente en Lugar la Borbolla;Chalet;Profesional;5;-;Llanes;706;354;No;No;Sí;250000
107236488;Piso en calle Asturias;Piso;Profesional;6;Parque San Francisco-Uría;Oviedo;2093;172;No;No;No;360000
106314309;Chalet;Chalet;Profesional;3;-;Llanes;2066;121;No;Sí;Sí;250000
107179066;Piso en calle Picasso;Piso;Profesional;3;Milán-Pumarín;Oviedo;2824;80;No;No;No;225900
107352985;Piso en calle Manuel García Conde, 9 -5;Piso;Profesional;5;Salesas-Foncalada-Campoamor;Oviedo;1731;208;No;No;No;360000
107289592;Piso en calle del Muelle, 34;Piso;Profesional;3;-;Avilés;1393;140;No;No;No;195000
107208087;Piso en calle Puerto de Ventana, 4;Piso;Profesional;3;Polígono;Gijón;2421;107;No;Sí;No;259000
106389504;Piso en calle Casimiro Velasco, 19;Piso;Profesional;3;Centro - Puerto;Gijón;3657;108;No;No;No;395000
107423908;Piso en calle Cervantes;Piso;Profesional;6;Parque San Francisco-Uría;Oviedo;2647;187;No;No;No;495000
