Id del anuncio;Tipo de inmueble;Tipo de vendedor;Barrio;Municipio;Distrito;Precio;Euros/m2;Metros cuadrados construidos;Habitaciones;Baños;Planta;Latitud;Longitud;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
107641810;Piso;Profesional;La Calzada;Gijón;Oeste;114000.0;1481.0;77;3.0;1.0;2;43,5409717;-5,6991249;Sí;No;No;Sí;No;No;No;Sí;No
107642038;Piso;Profesional;-;Mieres del Camino;La Villa - Bazuelo;98000.0;1324.0;74;3.0;1.0;5;43,2505171;-5,7747345;Sí;No;No;No;No;No;No;Sí;No
107642052;Piso;Particular;-;Gozón;Luanco - Aramar - Antromero;180000.0;2727.0;66.0;2.0;2.0;1;43,6139122;-5,7984778;Sí;No;No;No;Sí;Sí;No;Sí;No
107642126;Piso;Profesional;Laviada;Gijón;Centro;330000.0;3235.0;102.0;3.0;2.0;2;43,5372697;-5,6671931;Sí;No;No;No;Sí;Sí;No;Sí;No
107643364;Piso;Profesional;-;Mieres del Camino;Figaredo - Turón;32500.0;464.0;70;3.0;1.0;2;43,2078867;-5,7846591;No;No;No;No;No;No;No;No;No
107643526;Piso;Profesional;-;Mieres del Camino;San Pedro - Siana;36900.0;527.0;70;2.0;1.0;2;43,254119;-5,776739;No;No;No;No;No;No;No;No;No
107643539;Piso;Profesional;-;Arriondas;-;155000.0;1550.0;100.0;4.0;2.0;4;43,3895895;-5,1867076;Sí;No;No;No;No;No;No;Sí;No
107645024;Piso;Particular;Argañosa;Oviedo;Buenavista-Ería-Montecerrao;198000.0;3046.0;65.0;2.0;2.0;1;43,3629263;-5,8622186;Sí;No;No;No;Sí;Sí;No;Sí;No
107645539;Piso;Particular;Parque San Francisco-Uría;Oviedo;Centro-Casco Histórico;142000.0;2491.0;57;1.0;1.0;2;43,3639151;-5,8522135;Sí;No;No;No;No;No;No;No;No
107645812;Piso;Particular;El Llano;Gijón;El Llano;133000.0;1478.0;90;3.0;1.0;3;43,5290193;-5,6640378;Sí;No;No;No;No;No;No;No;No
107645930;Piso;Particular;Fozaneldi-Tenderina;Oviedo;Fozaneldi-Tenderina-Ventanielles;150000.0;1685.0;89.0;2.0;2.0;3;43,3641336;-5,8335591;Sí;No;No;No;No;No;No;No;No
107646307;Piso;Particular;-;Corvera de Asturias;-;80000.0;1143.0;70;3.0;1.0;2;43,5363589;-5,8996398;Sí;No;No;No;No;No;No;Sí;No
107647418;Piso;Particular;Ciudad Naranco-Prados de La Fuente;Oviedo;Ciudad Naranco-Vallobín-La Florida;120000.0;2182.0;55;2.0;1.0;4;43,3694497;-5,8564295;Sí;No;No;No;No;No;No;Sí;No
107647470;Piso;Profesional;-;Cudillero;-;185000.0;1480.0;125.0;5.0;2.0;2;43,5537738;-6,1463209;No;No;No;Sí;No;No;No;Sí;No
107647724;Piso;Particular;La Arena;Gijón;Este;330000.0;3143.0;105.0;3.0;2.0;1;43,5381288;-5,6475803;Sí;No;No;Sí;No;No;No;No;No
107648206;Piso;Particular;-;Villaviciosa;Villaviciosa;128500.0;1862.0;69;2.0;1.0;4;43,4797536;-5,434914;No;No;No;No;No;No;No;No;No
107648231;Piso;Particular;-;Llanes;Posada-Barro;179100.0;1905.0;94.0;2.0;2.0;2;43,4232144;-4,8635758;Sí;No;No;No;Sí;Sí;No;Sí;No
107648403;Piso;Particular;-;Aller;-;60000.0;923.0;65;3.0;1.0;2;43,1744126;-5,7503503;No;No;No;No;No;No;No;Sí;No
107648795;Piso;Profesional;La Arena;Gijón;Este;360000.0;3750.0;96.0;3.0;2.0;3;43,5363167;-5,6485313;Sí;No;No;No;No;No;No;No;No
107648796;Chalet;Profesional;-;Siero;Viella-Granda-Meres;140000.0;467.0;300;1.0;2.0;-;43,3947021;-5,768312;No;No;No;Sí;No;No;No;No;Sí
107648804;Piso;Profesional;Centro - Puerto;Gijón;Centro;310000.0;2696.0;115.0;3.0;2.0;3;43,538058;-5,6594558;Sí;No;No;No;No;No;No;No;No
107648809;Piso;Profesional;-;Avilés;Centro;150000.0;1667.0;90.0;2.0;1.0;1;43,5542151;-5,9181129;Sí;No;No;Sí;No;No;No;No;No
107648819;Piso;Profesional;-;Avilés;Puerta de la Villa - Arbolón;130000.0;1383.0;94;3.0;1.0;4;43,550208;-5,9168245;Sí;No;No;No;Sí;No;No;No;No
107649734;Piso;Profesional;Jove - Veriña;Gijón;Oeste;115200.0;1516.0;76;1.0;1.0;3;43,5417821;-5,7083781;Sí;No;No;No;No;No;No;No;No
107649735;Piso;Profesional;Centro - San Lorenzo;Gijón;Centro;198000.0;2605.0;76.0;3.0;1.0;3;43,5352844;-5,6582554;Sí;No;No;No;No;No;No;Sí;No
107649996;Piso;Profesional;Pumarín;Gijón;Sur;135100.0;1628.0;83;3.0;2.0;2;43,5295843;-5,6709069;Sí;No;No;No;No;No;No;No;No
107650288;Piso;Profesional;Jove - Veriña;Gijón;Oeste;170000.0;1809.0;94.0;4.0;1.0;1;43,5421936;-5,699689;Sí;No;No;No;No;No;No;Sí;No
107651002;Piso;Profesional;-;Avilés;Jardín de Cantos - El Nodo;47500.0;522.0;91;2.0;1.0;3;43,5697083;-5,9294848;No;No;No;No;No;No;No;No;No
107651196;Piso;Profesional;-;Luarca - Valdés;-;75000.0;833.0;90;4.0;2.0;4;43,5440282;-6,5346065;No;No;No;No;No;No;No;No;No
107651530;Piso;Profesional;-;Luarca - Valdés;-;75000.0;750.0;100;4.0;1.0;3;43,5411628;-6,5355206;No;No;No;No;No;No;No;No;No
107652179;Piso;Profesional;-;Corvera de Asturias;-;67000.0;1047.0;64;2.0;1.0;3;43,5344091;-5,900874;No;No;No;Sí;No;No;No;Sí;No
107653077;Piso;Profesional;-;Mieres del Camino;La Villa - Bazuelo;90000.0;744.0;121;4.0;2.0;2;43,248395;-5,7757949;Sí;No;No;No;No;No;No;No;No
107653486;Piso;Particular;Auditorio-Seminario-Parque de Invierno;Oviedo;Centro-Casco Histórico;172000.0;2123.0;81.0;2.0;1.0;3;43,3550907;-5,8475511;Sí;No;No;No;No;No;No;No;No
